Total Daily Cases Count,Italy,Iran,UK,USA,France,South Korea,Spain,Germany
2/15/20,3,0,9,15,12,28,2,16
2/16/20,3,0,9,15,12,29,2,16
2/17/20,3,0,9,15,12,30,2,16
2/18/20,3,0,9,15,12,31,2,16
2/19/20,3,2,9,15,12,58,2,16
2/20/20,4,5,9,15,12,111,2,16
2/21/20,21,18,9,35,12,209,2,16
2/22/20,79,29,13,35,12,436,2,16
2/23/20,157,43,13,35,12,602,2,16
2/24/20,229,61,13,53,12,833,3,16
2/25/20,323,95,13,57,14,977,9,18
2/26/20,470,139,13,60,18,1261,13,26
2/27/20,655,245,16,60,38,1766,25,48
2/28/20,889,388,20,63,57,2337,33,74
2/29/20,1128,593,23,68,100,3150,58,79
3/1/20,1701,978,36,75,130,3736,84,130
3/2/20,2036,1501,39,100,191,4335,120,165
3/3/20,2502,2336,51,124,212,5186,165,203
3/4/20,3089,2922,87,158,285,5621,228,262
3/5/20,3858,3513,116,221,423,6284,282,545
3/6/20,4636,4747,164,319,653,6593,401,670
3/7/20,5883,5823,209,435,949,7041,525,800
3/8/20,7357,6566,278,541,1209,7313,674,1040
3/9/20,9172,7161,321,704,1412,7478,1231,1224
3/10/20,10149,8042,383,994,1784,7513,1695,1565
3/11/20,12462,9000,460,1301,2281,7755,2277,1966
3/12/20,15113,10075,590,1697,2876,7869,3146,2745
3/13/20,17660,11364,798,2247,3661,7979,5232,3675
3/14/20,21157,12729,1140,2943,4499,8086,6391,4599
3/15/20,24747,13938,1391,3680,5423,8162,7988,5813
,,,,,,,,
Deaths,1809,853,35,69,127,75,309,13
Recovered,2335,4590,20,73,12,1137,530,58